FIPStxt,state,county,attribute,value
5011,AR,Bradley ,R_DOMESTIC_MIG_2022,-12.4
5011,AR,Bradley ,R_DOMESTIC_MIG_2023,-2.4
5011,AR,Bradley ,R_NET_MIG_2021,-8.4
5011,AR,Bradley ,R_NET_MIG_2022,-12.8
5011,AR,Bradley ,R_NET_MIG_2023,-2.9
5013,AR,Calhoun ,Rural_Urban_Continuum_Code_2013,9
5013,AR,Calhoun ,Rural_Urban_Continuum_Code_2023,9
5013,AR,Calhoun ,Urban_Influence_2013,8
5013,AR,Calhoun ,Economic_typology_2015,3
5013,AR,Calhoun ,CENSUS_2020_POP,4739
5013,AR,Calhoun ,ESTIMATES_BASE_2020,4740
5013,AR,Calhoun ,POP_ESTIMATE_2020,4736
5013,AR,Calhoun ,POP_ESTIMATE_2021,4728
5013,AR,Calhoun ,POP_ESTIMATE_2022,4687
5013,AR,Calhoun ,POP_ESTIMATE_2023,4641
5013,AR,Calhoun ,N_POP_CHG_2020,-4
5013,AR,Calhoun ,N_POP_CHG_2021,-8
5013,AR,Calhoun ,N_POP_CHG_2022,-41
5013,AR,Calhoun ,N_POP_CHG_2023,-46
5013,AR,Calhoun ,BIRTHS_2020,16
5013,AR,Calhoun ,BIRTHS_2021,41
5013,AR,Calhoun ,BIRTHS_2022,52
5013,AR,Calhoun ,BIRTHS_2023,51
5013,AR,Calhoun ,DEATHS_2020,22
5013,AR,Calhoun ,DEATHS_2021,86
5013,AR,Calhoun ,DEATHS_2022,89
5013,AR,Calhoun ,DEATHS_2023,88
5013,AR,Calhoun ,NATURAL_CHG_2020,-6
5013,AR,Calhoun ,NATURAL_CHG_2021,-45
5013,AR,Calhoun ,NATURAL_CHG_2022,-37
5013,AR,Calhoun ,NATURAL_CHG_2023,-37
5013,AR,Calhoun ,INTERNATIONAL_MIG_2020,0
5013,AR,Calhoun ,INTERNATIONAL_MIG_2021,0
5013,AR,Calhoun ,INTERNATIONAL_MIG_2022,0
5013,AR,Calhoun ,INTERNATIONAL_MIG_2023,0
5013,AR,Calhoun ,DOMESTIC_MIG_2020,0
5013,AR,Calhoun ,DOMESTIC_MIG_2021,39
5013,AR,Calhoun ,DOMESTIC_MIG_2022,-2
5013,AR,Calhoun ,DOMESTIC_MIG_2023,-8
5013,AR,Calhoun ,NET_MIG_2020,0
5013,AR,Calhoun ,NET_MIG_2021,39
5013,AR,Calhoun ,NET_MIG_2022,-2
5013,AR,Calhoun ,NET_MIG_2023,-8
5013,AR,Calhoun ,RESIDUAL_2020,2
5013,AR,Calhoun ,RESIDUAL_2021,-2
5013,AR,Calhoun ,RESIDUAL_2022,-2
5013,AR,Calhoun ,RESIDUAL_2023,-1
5013,AR,Calhoun ,GQ_ESTIMATES_BASE_2020,149
5013,AR,Calhoun ,GQ_ESTIMATES_2020,149
5013,AR,Calhoun ,GQ_ESTIMATES_2021,149
5013,AR,Calhoun ,GQ_ESTIMATES_2022,149
5013,AR,Calhoun ,GQ_ESTIMATES_2023,149
5013,AR,Calhoun ,R_BIRTH_2021,8.7
5013,AR,Calhoun ,R_BIRTH_2022,11
5013,AR,Calhoun ,R_BIRTH_2023,10.9
5013,AR,Calhoun ,R_DEATH_2021,18.2
5013,AR,Calhoun ,R_DEATH_2022,18.9
5013,AR,Calhoun ,R_DEATH_2023,18.9
5013,AR,Calhoun ,R_NATURAL_CHG_2021,-9.5
5013,AR,Calhoun ,R_NATURAL_CHG_2022,-7.9
5013,AR,Calhoun ,R_NATURAL_CHG_2023,-7.9
5013,AR,Calhoun ,R_INTERNATIONAL_MIG_2021,0
5013,AR,Calhoun ,R_INTERNATIONAL_MIG_2022,0
5013,AR,Calhoun ,R_INTERNATIONAL_MIG_2023,0
5013,AR,Calhoun ,R_DOMESTIC_MIG_2021,8.2
5013,AR,Calhoun ,R_DOMESTIC_MIG_2022,-0.4
5013,AR,Calhoun ,R_DOMESTIC_MIG_2023,-1.7
5013,AR,Calhoun ,R_NET_MIG_2021,8.2
5013,AR,Calhoun ,R_NET_MIG_2022,-0.4
5013,AR,Calhoun ,R_NET_MIG_2023,-1.7
5015,AR,Carroll ,Rural_Urban_Continuum_Code_2013,6
5015,AR,Carroll ,Rural_Urban_Continuum_Code_2023,6
5015,AR,Carroll ,Urban_Influence_2013,6
5015,AR,Carroll ,Economic_typology_2015,3
5015,AR,Carroll ,CENSUS_2020_POP,28260
5015,AR,Carroll ,ESTIMATES_BASE_2020,28257
5015,AR,Carroll ,POP_ESTIMATE_2020,28240
5015,AR,Carroll ,POP_ESTIMATE_2021,28539
5015,AR,Carroll ,POP_ESTIMATE_2022,28717
5015,AR,Carroll ,POP_ESTIMATE_2023,28814
5015,AR,Carroll ,N_POP_CHG_2020,-17
5015,AR,Carroll ,N_POP_CHG_2021,299
5015,AR,Carroll ,N_POP_CHG_2022,178
5015,AR,Carroll ,N_POP_CHG_2023,97
5015,AR,Carroll ,BIRTHS_2020,84
5015,AR,Carroll ,BIRTHS_2021,348
5015,AR,Carroll ,BIRTHS_2022,328
5015,AR,Carroll ,BIRTHS_2023,326
5015,AR,Carroll ,DEATHS_2020,84
5015,AR,Carroll ,DEATHS_2021,385
5015,AR,Carroll ,DEATHS_2022,404
5015,AR,Carroll ,DEATHS_2023,371
5015,AR,Carroll ,NATURAL_CHG_2020,0
5015,AR,Carroll ,NATURAL_CHG_2021,-37
5015,AR,Carroll ,NATURAL_CHG_2022,-76
5015,AR,Carroll ,NATURAL_CHG_2023,-45
5015,AR,Carroll ,INTERNATIONAL_MIG_2020,0
5015,AR,Carroll ,INTERNATIONAL_MIG_2021,41
5015,AR,Carroll ,INTERNATIONAL_MIG_2022,26
5015,AR,Carroll ,INTERNATIONAL_MIG_2023,36
5015,AR,Carroll ,DOMESTIC_MIG_2020,-22
5015,AR,Carroll ,DOMESTIC_MIG_2021,296
5015,AR,Carroll ,DOMESTIC_MIG_2022,216
5015,AR,Carroll ,DOMESTIC_MIG_2023,104
5015,AR,Carroll ,NET_MIG_2020,-22
5015,AR,Carroll ,NET_MIG_2021,337
5015,AR,Carroll ,NET_MIG_2022,242
5015,AR,Carroll ,NET_MIG_2023,140
5015,AR,Carroll ,RESIDUAL_2020,5
