county,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,Population,IsNCA,EducationGap,BachelorsDegreePct_Norm,HighSchoolGradPct_Norm,PovertyRate_Norm,UnemploymentRate_Norm,Population_Norm,EducationGap_Norm,HighPoverty,LowBachelorRate,HighUnemployment,LargePopulation,WideEducationGap
lee,0.0837114721741251,0.581946017436898,38.7,5.2,8201.0,0,0.4982345452627729,0.1953300908343465,0.631663583930402,0.9999999999999999,0.6904761904761906,0.009004269440116551,0.8025069343032222,1,1,0,0,0
lincoln,0.08432657140641961,0.3732993343929291,26.2,4.0,12898.0,0,0.28897276298650953,0.19694559569422943,0.402720309841222,0.5954692556634303,0.40476190476190477,0.02088434066489954,0.4675052290454669,1,1,0,0,0
little river,0.14774394739517152,0.3688089589157137,17.7,3.5,11805.0,0,0.22106501152054217,0.3635058411503643,0.3977931226525964,0.3203883495145631,0.2857142857142857,0.018119827603650274,0.3587934886891422,0,1,0,0,0
logan,0.07265878939252336,0.2043662863084112,16.6,4.0,21400.0,0,0.13170749691588785,0.16630117678121853,0.21735390685755188,0.28478964401294493,0.40476190476190477,0.042388357176099234,0.21574338443917232,0,1,0,1,0
lonoke,0.02764433183661645,0.04874559557042031,9.6,2.7,75944.0,0,0.02110126373380386,0.04807460271236333,0.046594851722861444,0.058252427184465994,0.09523809523809534,0.18034590558669392,0.03867676326695067,0,1,0,1,0
madison,0.07222793558368495,0.2908867248945148,14.8,2.6,17775.0,0,0.21865878931082983,0.1651695765685487,0.31229082220434473,0.22653721682847894,0.07142857142857151,0.0332196839400255,0.3549414305889271,0,1,0,0,0
marion,0.08815218573712459,0.20639014228617103,17.4,4.1,17514.0,1,0.11823795654904644,0.20699324039740585,0.2195746381295446,0.3106796116504853,0.4285714285714285,0.03255953946702819,0.19418035012470317,0,1,0,0,0
miller,0.0378338904632795,0.09531559884474831,21.5,3.6,42415.0,0,0.057481708381468814,0.07483659592771955,0.09769506030715831,0.4433656957928802,0.30952380952380953,0.09554136905364118,0.09691726405229437,1,1,0,1,0
mississippi,0.0366714164963919,0.10983468323720352,24.9,4.9,38663.0,0,0.07316326674081162,0.07178345873554831,0.11362652238022333,0.553398058252427,0.6190476190476192,0.08605147609315879,0.12202146002317393,1,1,0,1,0
monroe,0.24014447097665848,0.6243756243857493,26.3,3.9,6512.0,0,0.38423115340909086,0.6061878135286844,0.6782206295132449,0.598705501618123,0.38095238095238093,0.004732300034398335,0.6200018908083135,1,1,0,0,0
