county,births_2022,deaths_2022,domestic_mig_2022,gq_estimates_2022,international_mig_2022,n_pop_chg_2022,natural_chg_2022,net_mig_2022,pop_estimate_2022,r_birth_2022,r_death_2022,r_domestic_mig_2022,r_international_mig_2022,r_natural_chg_2022,r_net_mig_2022,residual_2022,civilian_labor_force_2022,employed_2022,med_hh_income_percent_of_state_total_2022,median_household_income_2022,unemployed_2022,unemployment_rate_2022,state
"baldwin county, ga",,,,,,,,,,,,,,,,,17648.0,16918.0,68.6,49883.0,730.0,4.1,
ballard county,59.0,135.0,33.0,114.0,-1.0,-45.0,-76.0,32.0,7642.0,7.7,17.6,4.3,-0.1,-9.9,4.2,-1.0,,,,,,,
"ballard county, ky",,,,,,,,,,,,,,,,,3464.0,3291.0,95.5,56605.0,173.0,5.0,
baltimore city,7275.0,7393.0,-8874.0,17967.0,1536.0,-7471.0,-118.0,-7338.0,569107.0,12.7,12.9,-15.5,2.7,-0.2,-12.8,-15.0,,,,,,,
"baltimore city, md",,,,,,,,,,,,,,,,,272948.0,262199.0,57.6,54735.0,10749.0,3.9,
baltimore county,9412.0,9316.0,-7354.0,22350.0,2649.0,-4705.0,96.0,-4705.0,845986.0,11.1,11.0,-8.7,3.1,0.1,-5.5,-96.0,,,,,,,
"baltimore county, md",,,,,,,,,,,,,,,,,442812.0,429325.0,90.8,86198.0,13487.0,3.0,
bamberg county,136.0,241.0,-95.0,844.0,31.0,-167.0,-105.0,-64.0,12950.0,10.4,18.5,-7.3,2.4,-8.1,-4.9,2.0,,,,,,,
"bamberg county, sc",,,,,,,,,,,,,,,,,4551.0,4303.0,59.1,37952.0,248.0,5.4,
bandera county,191.0,328.0,679.0,221.0,19.0,592.0,-137.0,698.0,22120.0,8.8,15.0,31.1,0.9,-6.3,32.0,31.0,,,,,,,
"bandera county, tx",,,,,,,,,,,,,,,,,10621.0,10225.0,95.9,69284.0,396.0,3.7,
banks county,246.0,268.0,783.0,28.0,-2.0,804.0,-22.0,781.0,19342.0,13.0,14.1,41.3,-0.1,-1.2,41.2,45.0,,,,,,,
"banks county, ga",,,,,,,,,,,,,,,,,11183.0,10932.0,92.0,66928.0,251.0,2.2,
banner county,6.0,6.0,-33.0,0.0,0.0,-33.0,0.0,-33.0,657.0,8.9,8.9,-49.0,0.0,0.0,-49.0,0.0,,,,,,,
"banner county, ne",,,,,,,,,,,,,,,,,387.0,376.0,95.4,66584.0,11.0,2.8,
bannock county,1065.0,975.0,952.0,2333.0,72.0,1110.0,90.0,1024.0,89625.0,12.0,10.9,10.7,0.8,1.0,11.5,-4.0,,,,,,,
"bannock county, id",,,,,,,,,,,,,,,,,43563.0,42289.0,85.5,62120.0,1274.0,2.9,
baraga county,83.0,115.0,31.0,883.0,0.0,-3.0,-32.0,31.0,8283.0,10.0,13.9,3.7,0.0,-3.9,3.7,-2.0,,,,,,,
"baraga county, mi",,,,,,,,,,,,,,,,,3075.0,2855.0,78.4,52491.0,220.0,7.2,
barber county,41.0,68.0,53.0,41.0,0.0,25.0,-27.0,53.0,4124.0,10.0,16.5,12.9,0.0,-6.6,12.9,-1.0,,,,,,,
"barber county, ks",,,,,,,,,,,,,,,,,2281.0,2235.0,86.9,59845.0,46.0,2.0,
barbour county,278.0,363.0,237.0,2702.0,2.0,167.0,-85.0,239.0,24700.0,11.3,14.7,9.6,0.1,-3.5,9.7,13.0,,,,,,,
"barbour county, al",,,,,,,,,,,,,,,,,8139.0,7813.0,68.9,41151.0,326.0,4.0,
"barbour county, wv",,,,,,,,,,,,,,,,,7172.0,6852.0,85.6,46302.0,320.0,4.5,
barceloneta municipio,,,,,,,,,22408.0,,,,,,,,,,,,,,
"barceloneta municipio, pr",,,,,,,,,,,,,,,,,6417.0,5900.0,,,517.0,8.1,
barnes county,86.0,155.0,-7.0,515.0,27.0,-54.0,-69.0,20.0,10761.0,8.0,14.4,-0.6,2.5,-6.4,1.9,-5.0,,,,,,,
"barnes county, nd",,,,,,,,,,,,,,,,,5273.0,5162.0,91.6,67058.0,111.0,2.1,
barnstable county,1519.0,3319.0,950.0,4030.0,704.0,-237.0,-1800.0,1654.0,232078.0,6.5,14.3,4.1,3.0,-7.8,7.1,-91.0,,,,,,,
"barnstable county, ma",,,,,,,,,,,,,,,,,111556.0,106399.0,95.0,89774.0,5157.0,4.6,
barnwell county,258.0,317.0,-92.0,474.0,35.0,-123.0,-59.0,-57.0,20471.0,12.6,15.4,-4.5,1.7,-2.9,-2.8,-7.0,,,,,,,
"barnwell county, sc",,,,,,,,,,,,,,,,,7565.0,7215.0,70.2,45080.0,350.0,4.6,
barranquitas municipio,,,,,,,,,28919.0,,,,,,,,,,,,,,
"barranquitas municipio, pr",,,,,,,,,,,,,,,,,7878.0,7327.0,,,551.0,7.0,
barren county,527.0,668.0,413.0,634.0,7.0,274.0,-141.0,420.0,44872.0,11.8,14.9,9.2,0.2,-3.2,9.4,-5.0,,,,,,,
"barren county, ky",,,,,,,,,,,,,,,,,17796.0,17047.0,85.5,50658.0,749.0,4.2,
barron county,447.0,652.0,170.0,798.0,60.0,6.0,-205.0,230.0,46715.0,9.6,14.0,3.6,1.3,-4.4,4.9,-19.0,,,,,,,
"barron county, wi",,,,,,,,,,,,,,,,,23920.0,23119.0,87.7,62344.0,801.0,3.3,
